currency,absolute_value
AUD,0.6553000199999999
CAD,0.7359705611775557
CHF,1.1428571428571417
EUR,1.0788165316130738
GBP,1.2585381818450445
JPY,0.006795169160195133
NZD,0.6144999900000012
USD,1.0
