pair,error_percent
AUDUSD,1.6641279942180868e-14
EURGBP,-0.184071432971479
EURJPY,-0.04249284566728024
EURUSD,0.22612998917796215
GBPJPY,0.1366607388609709
GBPUSD,-0.3211710866121165
NZDUSD,-1.611224177740733e-13
USDCAD,2.3037086623317314e-13
USDCHF,-6.385729965798324e-14
USDJPY,-0.09431483329117335
