pair,days_with_data,coverage_percent
AUDUSD,5,100.0
EURGBP,5,100.0
EURJPY,5,100.0
EURUSD,5,100.0
GBPJPY,5,100.0
GBPUSD,5,100.0
NZDUSD,5,100.0
USDCAD,5,100.0
USDCHF,5,100.0
USDJPY,5,100.0
