pair,actual,calculated,error_absolute,error_percent,abs_error_percent
EURJPY,159.66,159.75294889099246,-0.09294889099246006,-0.05821676750122765,0.05821676750122765
EURUSD,1.089206,1.0885722684134091,0.0006337315865907467,0.05818289530086565,0.05818289530086565
USDJPY,146.84,146.7545642365407,0.0854357634593157,0.058182895300541874,0.058182895300541874
