pair,error_percent
AUD_CAD,-0.004431272667223112
AUD_CHF,0.007103060792674538
AUD_EUR,-0.007310836607470989
AUD_GBP,-0.010537802766529387
AUD_JPY,-0.005295065284484552
AUD_NZD,-0.0028835587002762862
AUD_USD,-0.004424814210113298
BHD_INR,-0.06986468508371406
CAD_AUD,-0.009214566556844647
CAD_CHF,0.017268379806756457
CAD_COP,0.0033976723348224953
CAD_EUR,-0.0015431567483475458
CAD_GBP,0.0016404943151837117
CAD_JPY,-0.01262278375639573
CAD_NZD,-0.008521256026198245
CAD_USD,-0.001997570744813265
CHF_AUD,0.004344473458140484
CHF_CAD,-0.010790575452436063
CHF_EUR,-0.011826629716554177
CHF_GBP,-0.040362278216282674
CHF_JPY,-0.0021711590642547866
CHF_NZD,0.00860409851925056
CHF_USD,0.014342171197251487
CNY_USD,7.649973053797178e-08
CZK_PLN,0.02525880099798372
DKK_USD,0.021051350743190818
EGP_USD,-0.10798748794786757
EUR_AUD,-0.0017694706978492094
EUR_AZN,-6.586515177260891e-13
EUR_CHF,-0.01894266216401792
EUR_GBP,-0.018934867993400873
EUR_JPY,-0.01046373423955709
EUR_NZD,-0.002902050781947421
GBP_AUD,-0.01359133454456034
GBP_CAD,0.01931543025797001
GBP_CHF,-0.0024600593743383525
GBP_EUR,-0.02111803906594904
GBP_JPY,-0.008506529653020413
GBP_NZD,-0.015522333338376559
HKD_USD,-0.005209306774805754
IDR_USD,-7.999961600076611e-08
JPY_USD,-0.061483145775591545
KYD_USD,-1.2745487777574572e-13
MXN_USD,-0.012407308737723869
NOK_USD,0.0037507889630996817
NZD_AUD,-0.003841996928960535
NZD_CAD,-0.009102536830110827
NZD_CHF,-0.025105185991186302
NZD_EUR,-0.005206455574018955
NZD_GBP,0.010422119138713548
NZD_JPY,-0.009505551824889089
NZD_USD,0.017619828218024006
PLN_USD,0.03262167482408867
RUB_USD,-3.395177652992996e-13
SAR_USD,-0.008500208530325922
SGD_USD,-0.002820380063493521
TRY_USD,-5.204754094634693e-05
USD_AFN,-7.47939721852737e-14
USD_AMD,1.8071026517547116e-13
USD_ARS,-3.4554491832713806e-13
USD_AUD,-0.0037075422631443946
USD_BBD,5.579010173995762e-14
USD_BGN,-1.5976587124164685e-13
USD_BHD,-0.06986468508484306
USD_BND,3.0172383536937615e-13
USD_BOB,3.878508382969979e-13
USD_BRL,6.722965329942074e-13
USD_BSD,-4.440892098500626e-14
USD_BZD,-6.616480651806489e-13
USD_CAD,-0.006583831302492293
USD_CHF,-0.015720444784371474
USD_CLP,3.556153516462363e-13
USD_CNY,7.65002726517055e-08
USD_COP,-0.003397787780396859
USD_CRC,-6.294952071344594e-13
USD_CUP,-1.021405182655144e-12
USD_CZK,0.02525880099605024
USD_DJF,-7.356207146692803e-13
USD_DKK,0.021051350743142305
USD_DOP,-2.166288828536891e-14
USD_DZD,-5.899527061920254e-13
USD_EGP,-0.10798748794808546
USD_EUR,-0.006007000585749583
USD_FJD,9.67894184756686e-14
USD_GBP,0.015883776001290102
USD_GHS,-3.5220867395808626e-13
USD_GMD,-1.05868831689184e-12
USD_GTQ,-8.42716103585637e-13
USD_HKD,-0.005209306774948365
USD_HTG,5.288390590580899e-13
USD_HUF,-2.8723304331046454e-13
USD_IDR,-8.000039577802035e-08
USD_INR,0.06981590841946834
USD_IRR,-1.559133774467877e-13
USD_ISK,-2.63010169091017e-13
USD_JMD,-2.1097769460533197e-13
USD_JOD,-2.0362442032841696e-13
USD_JPY,-0.012902582423445972
USD_KWD,-7.209240419643873e-14
USD_KZT,-3.3750545569816077e-13
USD_LKR,3.800100201947268e-13
USD_LYD,-2.3808106524855925e-13
USD_MAD,-3.971014206008849e-13
USD_MDL,1.3562564148885288e-14
USD_MKD,-3.7991294352240616e-13
USD_MNT,-3.094922986976843e-13
USD_MOP,3.0958540709079433e-13
USD_MUR,7.040885903485716e-14
USD_MXN,-0.012407308737705713
USD_MYR,-5.492682332356038e-13
USD_MZN,-1.86168402382559e-13
USD_NOK,0.003750788963250125
USD_NZD,-0.003490440079626928
USD_OMR,4.3255443641381254e-14
USD_PEN,-5.133237507297357e-13
USD_PLN,0.007364734072953049
USD_PYG,-3.200126240326975e-13
USD_QAR,-1.829535333081829e-13
USD_RON,-2.796531548174198e-13
USD_SAR,-0.008500208530376637
USD_SCR,-3.161902526522339e-14
USD_SEK,-4.215850024208383e-13
USD_SGD,-0.0028203800638424373
USD_SVC,-1.2184910296560538e-13
USD_SYP,-1.935330408685098e-13
USD_THB,-3.3777922922381676e-13
USD_TRY,-5.204754031100282e-05
USD_TTD,-6.115326824164797e-13
USD_TWD,-2.2309034089799069e-13
USD_TZS,9.696105562611175e-14
USD_UGX,-1.0441959836658189e-13
USD_UYU,-5.509981580080046e-13
USD_VND,3.6117335433434174e-14
USD_VUV,-3.929721589390225e-14
USD_XCD,1.1599345033397156e-13
USD_ZAR,0.00599946005357359
ZAR_USD,0.005999460054398205
