pair,actual_value,calculated_value,error_percent
AUDUSD,0.68150002,0.6815000199999998,3.2581745914700237e-14
EURGBP,0.86619997,0.8669478914503567,-0.08634512540523703
EURJPY,155.71001,155.8042636723938,-0.060531543472247255
EURUSD,1.10682,1.1051961470723854,0.14671337052225897
GBPJPY,179.75999,179.71583437586054,0.024563655204614444
GBPUSD,1.2734,1.274812659413073,-0.11093603055387176
NZDUSD,0.63209999,0.6320999900000008,-1.405123293389271e-13
USDCAD,1.3238,1.3237999999999965,2.683723884877248e-13
USDCHF,0.84130001,0.8413000100000007,-7.917910458304809e-14
USDJPY,141.024994,140.9743094790117,0.035940097957589005
