pair,actual_value,calculated_value,error_percent
AUDUSD,0.6803,0.6802999999999999,1.6319609358006124e-14
EURGBP,0.8671,0.8672380575295603,-0.015921754072230336
EURJPY,156.91,156.89356681660308,0.010472999424455362
EURUSD,1.10062,1.1005600515347087,0.005446790471845535
GBPJPY,180.96001,180.91176402421118,0.026661125730945038
GBPUSD,1.2685,1.2690403078824704,-0.04259423590621933
NZDUSD,0.62959999,0.6295999900000011,-1.7633784025713795e-13
USDCAD,1.3261,1.3260999999999972,2.1767437327693287e-13
USDCHF,0.85584998,0.8558499800000001,-1.2972168610965633e-14
USDJPY,142.505,142.55793366097396,-0.037145125415924365
