pair,error_percent
AUD_CAD,-0.010322810638622514
AUD_CHF,-0.007854679514540672
AUD_GBP,-0.0023634008406310425
AUD_JPY,-0.00470191096668226
AUD_NZD,-0.006929165663722876
AUD_USD,-0.046165830766780484
CAD_AUD,0.0022901843861805543
CAD_CHF,-0.0018098644292453125
CAD_GBP,0.016222406250104494
CAD_JPY,-0.00041441440855740643
CAD_NZD,0.0050209469320171415
CHF_CAD,-0.0029103056926967387
CHF_GBP,0.0006393524001572087
CHF_JPY,0.009383964585777237
EUR_CHF,0.03143573071835959
EUR_JPY,-0.030888489378110114
GBP_AUD,-0.0035581324011762466
GBP_CAD,-0.008767622760994685
GBP_CHF,-0.009281357208424167
GBP_JPY,0.0018725620388170112
GBP_NZD,-0.0062750857092292054
NZD_AUD,0.0019667831554058923
NZD_CAD,0.003298810085891175
NZD_CHF,-0.00538217597942001
NZD_GBP,0.00987200680469977
NZD_JPY,0.024739888553915942
USD_AUD,-0.0790561023892584
USD_CAD,0.04000365577079251
USD_CNY,2.555301667805324e-13
USD_EUR,0.0005569513608165966
USD_GBP,-0.05039343441035738
USD_HKD,5.601685898599249e-13
USD_INR,3.3482916615679325e-13
USD_JMD,2.1206507211941194e-13
USD_KWD,2.846725801491027e-13
USD_LKR,2.20145846994702e-13
USD_MYR,9.525723077006921e-14
USD_NOK,6.071769344408841e-14
USD_NZD,0.04267271339670765
USD_SAR,6.432160277078627e-14
