pair,error_percent
AUD_CAD,0.005764425932548554
AUD_CHF,0.004214523745887165
AUD_EUR,-0.012920980515430542
AUD_GBP,0.010568161978953477
AUD_JPY,0.013765256087854382
AUD_NZD,-0.02083244923480105
AUD_USD,-0.00669311081853743
BHD_INR,0.009760811417921313
CAD_AUD,-0.00555084466440688
CAD_CHF,-0.004219677365334546
CAD_COP,0.01679234621808575
CAD_EUR,-0.01680969610194148
CAD_GBP,-0.009778048834675816
CAD_JPY,0.01499131809211366
CAD_NZD,-0.03275943366781023
CAD_USD,-0.010100266720004062
CHF_AUD,-0.0030647525334692115
CHF_CAD,-0.0008354901175039143
CHF_EUR,-0.0027864274009685584
CHF_GBP,-0.013593584560124035
CHF_JPY,0.0017406358337129614
CHF_NZD,-0.02541903515977859
CHF_USD,-0.005823402717558635
CNY_USD,0.06171027130357163
COP_USD,0.04088743512167403
CZK_PLN,0.027820598135961522
DKK_USD,-0.006270589754667841
EGP_USD,0.37480904096584666
EUR_AUD,0.008196464351931259
EUR_AZN,1.0385072415307677e-12
EUR_CAD,-0.05933575328974679
EUR_CHF,0.015238002189130725
EUR_GBP,0.004056728466335962
EUR_JPY,0.02802415157764056
EUR_NZD,-0.012903667799935278
EUR_USD,0.01489337497239717
GBP_AUD,0.0030583042568186323
GBP_CAD,0.010430850226178966
GBP_CHF,0.010216081850782781
GBP_EUR,-0.0031578646542502566
GBP_JPY,0.021001036621440265
GBP_NZD,-0.01772344075397395
GBP_USD,0.008285343646946356
HKD_USD,0.008314462931213636
HUF_USD,0.08984279647803833
IDR_AUD,-0.02282849449016694
IDR_CHF,-0.00726973560173918
IDR_USD,0.04258055420767159
INR_USD,0.03358879745985575
IRR_USD,0.055538415481498356
JPY_AUD,-0.02156522047972055
JPY_CAD,-0.03788223328023306
JPY_CHF,-0.09144361881798765
JPY_GBP,-0.057662606474895406
JPY_NZD,0.3230594841483879
JPY_USD,0.0316746037261815
KRW_USD,-2.1707777209935033e-06
KYD_USD,1.9482388460006847e-12
MXN_USD,0.0006394550651049258
MYR_USD,0.00028938199668084
NIO_USD,1.2560243240568134e-07
NOK_USD,-0.023750958940195865
NZD_AUD,0.021025068809906008
NZD_CAD,0.031488287486439524
NZD_CHF,0.021344444033702174
NZD_EUR,0.013115740231428986
NZD_GBP,0.031086143889635487
NZD_JPY,0.044608905600953645
NZD_USD,0.027577547054260652
PHP_USD,-8.709974433753446e-07
PLN_USD,-0.028812849983971607
PYG_USD,0.20803072548708784
RUB_USD,0.032484164822587404
SAR_USD,-0.00850020852786894
SGD_USD,0.16665430319800048
THB_GBP,0.0700984666359306
THB_USD,-0.13606577250152438
TRY_USD,-0.0035151853344710395
UAH_PLN,-0.0834286299176693
USD_AFN,-2.4415563851504144e-12
USD_ALL,-5.416337896042374e-12
USD_AMD,-3.827456869961073e-12
USD_ARS,-2.2309897680169686e-12
USD_AUD,0.014591501943737931
USD_BBD,-1.2273822382790675e-12
USD_BDT,0.0
USD_BGN,-1.1038757391251869e-12
USD_BHD,0.00976081141537504
USD_BIF,-1.8880116860214154e-12
USD_BND,-2.356652579704416e-12
USD_BOB,-5.746581787284621e-13
USD_BRL,-1.5046497292548148e-12
USD_BSD,-3.6415315207705135e-12
USD_BWP,-3.738220847862094e-12
USD_BZD,-2.3557016461589617e-12
USD_CAD,0.0029156674245317117
USD_CDF,-1.8752468077792333e-12
USD_CHF,0.0020961417403304763
USD_CLP,-2.5937751384508533e-12
USD_CNY,0.06171027129535984
USD_COP,0.024099135708042358
USD_CRC,-3.765243978251742e-13
USD_CUP,-2.220446049250313e-12
USD_CVE,-1.5217500558605685e-12
USD_CZK,0.02782059813682982
USD_DJF,-1.8757512680037075e-12
USD_DKK,-0.006270589755591406
USD_DOP,-1.512848407726566e-12
USD_DZD,-2.2544572578821557e-12
USD_EGP,0.3748090409550483
USD_ETB,-2.745496677927468e-12
USD_EUR,0.02074822507659483
USD_FJD,-2.6525660448291268e-12
USD_GBP,-0.002707779130377664
USD_GHS,-2.4167286530535004e-12
USD_GMD,-2.2961883740900904e-12
USD_GNF,-2.155027606610553e-12
USD_GTQ,-2.658094940961482e-12
USD_HKD,0.00831446293005706
USD_HNL,-2.3238369781601403e-12
USD_HTG,-2.526751017380786e-12
USD_HUF,0.08984279647882581
USD_IDR,0.01249348124231485
USD_ILS,-1.746507439524737e-12
USD_INR,0.02383031207162393
USD_IQD,-2.5535432701405477e-12
USD_IRR,0.05553841547942694
USD_ISK,-2.572301119897704e-12
USD_JMD,-1.7445080897356684e-12
USD_JOD,-2.2564870681236606e-12
