pair,actual_value,calculated_value,error_percent
AUDUSD,0.67065001,0.6706500099999998,3.3108864775090555e-14
EURGBP,0.85890001,0.8593862341505758,-0.05661009953600462
EURJPY,154.98,155.30851391337296,-0.21197181144210409
EURUSD,1.09936,1.0964139148863874,0.26798183612397175
GBPJPY,180.42999,180.72027191229233,-0.1608834054096711
GBPUSD,1.27714,1.2758104229701697,0.1041058168901041
NZDUSD,0.62089998,0.620899980000001,-1.6092780711035631e-13
USDCAD,1.337,1.3369999999999962,2.823304625075193e-13
USDCHF,0.87,0.8700000000000008,-8.932828933765628e-14
USDJPY,142.17999,141.6513524725435,0.37180866833406745
