pair,actual_value,calculated_value,error_percent
AUDUSD,0.65805,0.6580499999999997,5.06142249658152e-14
EURGBP,0.85727,0.857270302508006,-3.5287366404772946e-05
EURJPY,155.97,156.08770642522305,-0.07546734963329357
EURUSD,1.079214,1.078399779441939,0.07544570011701075
GBPJPY,181.92999,182.07525207461083,-0.07984504072738455
GBPUSD,1.25895,1.257946036724943,0.07974608007124336
NZDUSD,0.61245,0.6124500000000015,-2.356584099947266e-13
USDCAD,1.3585,1.3584999999999972,2.1248287552634576e-13
USDCHF,0.88034999,0.8803499900000006,-6.305577538685249e-14
USDJPY,144.965,144.74011345402616,0.15513161519942426
