pair,error_percent
AUD_CAD,-0.03148718871421185
AUD_CHF,0.02000128892829532
AUD_EUR,0.0018098014273348916
AUD_GBP,0.0009495401646270043
AUD_JPY,-0.07972840052627393
AUD_NZD,0.020594014390847584
AUD_USD,-0.06103840306383241
BHD_INR,-0.007747536919298519
CAD_AUD,0.026531740089813245
CAD_CHF,0.04543587668036344
CAD_COP,-0.03460343322357403
CAD_EUR,0.032904520813277875
CAD_GBP,0.031422930343172076
CAD_JPY,-0.04445616539487794
CAD_NZD,0.0332224100022884
CAD_USD,-0.04725573962084844
CHF_AUD,-0.032455399165735435
CHF_CAD,0.022283366552741983
CHF_EUR,0.028122749409563767
CHF_GBP,-0.0034094979646569694
CHF_JPY,-0.09049809298763448
CHF_NZD,0.053731390025043
CHF_USD,-0.07420932488455767
CLP_USD,0.7685483304652752
CNY_USD,0.06958943120520625
COP_USD,0.04650733490960824
CZK_PLN,0.010489521810261084
DKK_USD,-0.0673111931572112
EGP_USD,0.48042898316704996
EUR_AMD,-0.07472325198250404
EUR_AUD,-0.019253897997449327
EUR_AZN,0.0029972691425802223
EUR_CAD,0.05509966533250435
EUR_CHF,-0.025448978237623036
EUR_GBP,-0.00988345759397762
EUR_JPY,-0.07944949503108925
EUR_NZD,-0.03530493120712973
EUR_TJS,-0.04307178941440658
EUR_USD,0.11239407486627062
FJD_USD,0.28854308091428277
GBP_AUD,-0.030537241387671863
GBP_CAD,-0.02403703015434184
GBP_CHF,-0.011459650422016172
GBP_EUR,0.02099787597611418
GBP_JPY,-0.051231128610473894
GBP_NZD,0.027562343312778934
GBP_USD,0.12923502935078593
GHS_USD,0.002575617987889985
HKD_USD,-0.0026241032866018603
HUF_EUR,-0.18441159879318447
HUF_USD,0.1616953956242008
IDR_AUD,-0.022580304456980713
IDR_CHF,0.05138774931081416
IDR_USD,0.22950692651344468
ILS_USD,-0.052529487736388734
INR_USD,-0.017888912686057027
IRR_USD,0.959612237798647
JOD_USD,-0.018870723869089945
JPY_AUD,-0.09084988687958599
JPY_CAD,0.016090972461351053
JPY_CHF,-0.10910117064373659
JPY_EUR,-0.11668084821294532
JPY_GBP,-0.10519665594042796
JPY_NZD,-0.14012382066416643
JPY_USD,0.059638526846879716
KRW_USD,3.7045807224771456e-07
KYD_USD,-1.227271781057342e-12
MXN_USD,0.02529105869827419
MYR_USD,0.004238014572094928
NIO_USD,2.609998366841718e-06
NOK_USD,-0.0056004704446626224
NZD_AUD,-0.027207527128743775
NZD_CAD,-0.02896757379235003
NZD_CHF,-0.004481420075136941
NZD_EUR,0.006644393641965174
NZD_GBP,-0.015068058727561156
NZD_JPY,-0.06989503772544556
NZD_USD,0.17778956899899273
PEN_USD,-0.04628353992414939
PHP_USD,8.749986983631849e-07
PLN_USD,-0.2812918891738104
PYG_USD,1.0222653454914583
RUB_AMD,0.0814417416377251
RUB_USD,-0.051031535310817756
SAR_USD,-0.00850020853251222
SDR_RUB,1.3695419975844444e-13
SGD_USD,0.012856811110075732
THB_GBP,0.09278035817432945
THB_USD,-0.1408012540548901
TRY_USD,-0.024745698914252035
TWD_USD,-0.0690230024123373
UAH_PLN,-0.4242093598136173
UAH_USD,-0.7285444938912691
USD_AFN,7.025591095156046e-13
USD_ALL,-9.472946088854056e-13
USD_AMD,-0.006779805204666197
USD_ARS,2.0921433363576607e-12
USD_AUD,0.06742711876816197
USD_AZN,-0.0029973589815795905
USD_BBD,1.2323475573339238e-12
USD_BDT,1.296706245077081e-12
USD_BGN,7.168761809763785e-13
USD_BHD,-0.007747536919762295
USD_BIF,5.099334774466791e-13
USD_BND,1.096671300695138e-12
USD_BOB,1.3790804522409351e-12
USD_BRL,1.6864147209496047e-12
USD_BSD,1.1546319456101628e-12
USD_BWP,1.6964685911966275e-12
USD_BZD,1.3491317767596838e-13
USD_CAD,0.034239806730897854
USD_CDF,4.3188295894245196e-13
USD_CHF,-0.06278255623158313
USD_CLP,0.7685483304662488
USD_CNY,0.06958943120936271
USD_COP,0.08108271072588344
USD_CRC,1.1319290094683344e-12
USD_CUP,1.4654943925052066e-12
USD_CVE,5.48606000311121e-13
USD_CZK,0.010489521811692937
USD_DJF,8.445307945034334e-13
USD_DKK,-0.06731119315772469
USD_DOP,1.1940249829577441e-12
USD_DZD,1.8117641659772796e-12
USD_EGP,0.4804289831703476
USD_ETB,7.264162766195647e-13
USD_EUR,0.09383357340257013
USD_FJD,0.2885430809151039
USD_GBP,0.06891720589272635
USD_GHS,0.002575617991033894
USD_GMD,1.4582033756270713e-12
USD_GNF,-1.8281300538149312e-14
USD_GTQ,3.6865123933106587e-13
USD_HKD,-0.0026241032837187
USD_HNL,-1.9175871316459765e-14
USD_HTG,1.3048960933455929e-12
USD_HUF,-0.02241801810340974
USD_IDR,0.258259833160906
USD_ILS,-0.05252948773528794
USD_INR,-0.01014059011790072
USD_IQD,3.978542002506248e-13
USD_IRR,0.9596122378021351
USD_ISK,7.528049276307742e-13
USD_JMD,9.088569074519093e-13
USD_JOD,-0.018870723870158666
USD_JPY,-0.07080006721845655
USD_KES,2.346154730445402e-13
USD_KHR,4.2287587501374103e-13
USD_KMF,1.0190416826587431e-12
USD_KRW,3.704612341708314e-07
USD_KWD,-5.968940785569146e-13
USD_KZT,8.245402142135828e-13
USD_LAK,8.547573557236989e-13
USD_LBP,5.607055371406611e-13
USD_LKR,8.916614723264002e-13
USD_LSL,1.1198448494500365e-12
USD_LYD,8.535389634340918e-13
USD_MAD,8.033883762108456e-13
USD_MDL,7.90107997236163e-13
USD_MGA,3.6453553766858387e-13
USD_MKD,9.19386027308105e-13
USD_MMK,1.5201785947323855e-12
USD_MNT,1.4186225850877562e-13
USD_MOP,6.880802193823205e-13
USD_MUR,-4.659296627935083e-14
USD_MVR,4.644990150571178e-13
USD_MWK,8.265477515943273e-13
USD_MXN,0.025291058699342898
USD_MYR,0.0042380145744351306
USD_MZN,2.9093088393326936e-13
USD_NAD,1.0076657212486728e-12
USD_NGN,7.737649463944685e-13
USD_NIO,2.6100014320629677e-06
USD_NOK,-0.005600470443166904
USD_NPR,4.202699337739536e-13
USD_NZD,0.0791633957928858
USD_OMR,1.1967339407448815e-12
USD_PEN,-0.04628353992201856
USD_PGK,-8.521495372645788e-14
USD_PHP,8.750012856015362e-07
USD_PKR,5.201139270026707e-13
USD_PLN,0.13183806971296969
USD_PYG,1.0222653454928825
USD_QAR,6.953189111785076e-13
USD_RON,8.296579066423188e-13
USD_RSD,7.521903264676791e-13
USD_RUB,0.030451767301176012
USD_RWF,4.850811055210863e-13
USD_SAR,-0.008500208528197814
USD_SCR,6.333098296992197e-13
USD_SDG,6.224640698730619e-13
USD_SEK,8.88044604759682e-13
USD_SGD,0.012856811111946191
USD_SOS,2.809009030870403e-13
USD_SVC,8.93509013245053e-13
USD_SYP,7.577060729541873e-13
USD_SZL,3.425611673268205e-13
USD_THB,-0.047890259968477025
USD_TJS,0.04305324560786632
USD_TND,5.527541783168154e-13
USD_TRY,-0.024745698914851344
USD_TTD,8.692511763442426e-13
USD_TWD,-0.06902300241184975
USD_TZS,8.421247238638223e-13
USD_UAH,-1.1558444076409589
USD_UGX,8.14096366942485e-13
USD_UYU,0.009249698988374652
USD_UZS,1.5108889123626437e-14
USD_VND,4.5292580146751864e-13
USD_VUV,3.761016109479358e-13
USD_XAF,8.653821513213476e-13
USD_XCD,6.792951584704591e-14
USD_XOF,6.825403010860777e-13
USD_XPF,6.873732284027207e-13
USD_YER,1.4000842083942861e-14
USD_ZAR,-0.17096630760830975
USD_ZMW,-3.0211113694531084e-13
UYU_USD,0.009249698987096662
ZAR_USD,-0.1709663076024368
