pair,actual_value,calculated_value,error_percent
AUDUSD,0.68349999,0.6834999899999996,4.8729614083468676e-14
EURGBP,0.86940002,0.8690055028543324,0.04537809254566473
EURJPY,156.53,156.68341697388823,-0.09801122716937773
EURUSD,1.11086,1.1102761206769511,0.0525610178644311
GBPJPY,180.039993,180.30198480820482,-0.1455186727344583
GBPUSD,1.28008,1.2776399194598218,0.1906193784902742
NZDUSD,0.63309997,0.6330999700000006,-1.0521779281952802e-13
USDCAD,1.3231,1.3230999999999953,3.52425115518529e-13
USDCHF,0.84345001,0.8434500100000003,-3.948863636714486e-14
USDJPY,141.465,141.12112658818253,0.24308020486867374
