pair,error_percent
AUD_CAD,-0.0005434073298584907
AUD_CHF,0.01638320476141574
AUD_EUR,0.024468314231164336
AUD_GBP,-0.013123964763645739
AUD_JPY,0.0031011849412708936
AUD_NZD,-0.025400409672400214
AUD_USD,0.012794949227839835
BHD_INR,-0.0017496851829973848
CAD_AUD,-3.1450203843287904e-05
CAD_CHF,0.0026930778528909413
CAD_COP,-0.0009380491408155468
CAD_EUR,0.019921122668192983
CAD_GBP,-0.0033842697240164094
CAD_JPY,0.0035582703338608098
CAD_NZD,-0.029990340653191703
CAD_USD,-0.00898022177612492
CHF_AUD,-0.0054240795501679815
CHF_CAD,-0.0010739505923158586
CHF_EUR,-0.009181001109601414
CHF_GBP,-0.004056459356834583
CHF_JPY,0.003827572365822307
CHF_NZD,0.007760361998663432
CHF_USD,0.005426529737032314
CNY_USD,-9.058965389379351e-07
CZK_PLN,-0.027858002804881675
DKK_USD,0.02673554933350372
EGP_USD,-3.006250251950497e-06
EUR_AUD,0.034813715169719074
EUR_AZN,5.92179676770217e-13
EUR_CHF,-0.0006464425437598449
EUR_GBP,0.008361278049633566
EUR_JPY,0.003241828266285672
EUR_NZD,-0.008798555900657439
GBP_AUD,-0.0036283651460172913
GBP_CAD,-0.0081983721057643
GBP_CHF,-0.014616150779080957
GBP_EUR,-0.00429111923993929
GBP_JPY,0.00327547356755943
GBP_NZD,0.004506618586181926
HKD_USD,-0.008414961555553038
IDR_USD,-1.028749402911549e-06
JPY_USD,0.01159805941988559
KYD_USD,3.641567936449878e-14
MXN_USD,-0.016203428416413437
NOK_USD,-0.006992733406208096
NZD_AUD,-0.0030469070376968493
NZD_CAD,-0.009240979547995229
NZD_CHF,-0.004808822321144294
NZD_EUR,-0.004064740984055115
NZD_GBP,-0.017801048482013224
NZD_JPY,-0.001990144219203069
NZD_USD,-0.005888898716755948
PLN_USD,-0.026659230072048738
RUB_USD,4.1986938972271095e-13
SAR_USD,-0.007166895192492159
SGD_USD,-0.0032501584454421965
TRY_USD,0.0034606583496275263
USD_AFN,-3.44052272052259e-13
USD_AMD,3.2590199071122973e-13
USD_ARS,-3.9862145063680235e-13
USD_AUD,-0.005000196729252774
USD_BBD,-5.244269563556016e-13
USD_BGN,-6.937827639413465e-13
USD_BHD,-0.0017496851823275183
USD_BND,-1.6376828911978936e-12
USD_BOB,3.604132637765962e-14
USD_BRL,-1.4740513857189139e-12
USD_BSD,-1.1102230246251565e-12
USD_BZD,-1.194757772693062e-12
USD_CAD,0.0019111055901440358
USD_CHF,-0.0017272944246134415
USD_CLP,6.638647458196556e-13
USD_CNY,-9.059034663475833e-07
USD_COP,0.0009380403411719887
USD_CRC,-6.868465120164625e-13
USD_CUP,-2.220446049250313e-13
USD_CZK,-0.027858002805084447
USD_DJF,-7.47084933599191e-13
USD_DKK,0.02673554933190169
USD_DOP,-6.529311625903624e-13
USD_DZD,-2.336011219685727e-13
USD_EGP,-3.0062500045850387e-06
USD_EUR,0.010120013413435651
USD_FJD,-9.28880263995187e-13
USD_GBP,0.007051083322027887
USD_GHS,-6.618922927940185e-13
USD_GMD,-1.029546005711671e-12
USD_GTQ,-5.115163673665643e-13
USD_HKD,-0.008414961553454885
USD_HTG,-6.767073673905716e-14
USD_HUF,-4.825217750089293e-13
USD_IDR,-1.0287506407055404e-06
USD_INR,0.0017496545690121076
USD_IRR,-3.078395004120479e-13
USD_ISK,-4.412547608653373e-13
USD_JMD,-4.760997011184428e-13
USD_JPY,-0.003415822198655977
USD_KWD,-2.3919289559375264e-13
USD_KZT,-1.0117760638655147e-12
USD_LKR,-4.724647801417809e-13
USD_LYD,-4.283818744534366e-13
USD_MAD,-4.717900241236057e-13
USD_MDL,-2.670257238898014e-13
USD_MKD,-7.937757980084108e-14
USD_MNT,-6.890111377067638e-13
USD_MOP,-4.864913539998197e-13
USD_MUR,-8.507341355643696e-13
USD_MXN,-0.01620342841502333
USD_MYR,-2.3373116307898035e-13
USD_MZN,-6.344131569286609e-13
USD_NOK,-0.006992733406652269
USD_NZD,0.005074593253080513
USD_OMR,-7.497610231172751e-13
USD_PEN,-4.93295428880936e-13
USD_PLN,0.0011984388712908715
USD_PYG,-8.144728672593387e-13
USD_QAR,-2.1956233079630644e-13
USD_RON,-8.86115226039496e-13
USD_SAR,-0.007166895191883887
USD_SCR,-7.904756316305849e-13
USD_SEK,-5.839693300386552e-13
USD_SGD,-0.0032501584467155608
USD_SVC,-6.697871994996373e-13
USD_SYP,-8.145423378211998e-13
USD_THB,-1.0018053133333205e-12
USD_TRY,0.0034606583490930337
USD_TTD,-7.824083958206649e-13
USD_TWD,-9.035803576140003e-13
USD_TZS,-8.789623262301951e-13
USD_UGX,-5.823739915984691e-13
USD_UYU,-8.947575191053113e-13
USD_VND,-6.038237353522224e-13
USD_VUV,-4.187052375358014e-13
USD_XCD,-2.993859841685816e-13
USD_ZAR,-0.005000375031910362
ZAR_USD,-0.005000375030582275
