pair,error_percent
AUD_CAD,0.006502481894015455
AUD_CHF,-0.004241853113433804
AUD_EUR,0.007766947748676039
AUD_GBP,0.04198372885004454
AUD_JPY,0.02397063937818487
AUD_NZD,-0.0009000651715320029
AUD_USD,0.028891682292487918
BHD_INR,1.4005598484184209e-05
CAD_AUD,-0.0063309319574302815
CAD_CHF,0.0025639903385533316
CAD_COP,0.015217410724400747
CAD_EUR,-0.003748559583321531
CAD_GBP,-0.014038931282245445
CAD_JPY,0.012513789808946288
CAD_NZD,-0.009736014184524676
CAD_USD,0.01594853853730304
CHF_AUD,-0.007619230452859084
CHF_CAD,0.007833385283841397
CHF_EUR,-0.00020067179428388763
CHF_GBP,-0.03586684079141445
CHF_JPY,0.010638391543864383
CHF_NZD,-0.010073498147457088
CHF_USD,0.03211256415831183
DKK_USD,0.023455249487522974
EUR_AUD,-0.003868529021347745
EUR_CHF,-0.002137143969835188
EUR_GBP,0.032656422836804165
EUR_JPY,0.008107387940361924
EUR_NZD,-0.010533977191583372
GBP_AUD,0.0193927291125228
GBP_CAD,0.02621197529441452
GBP_CHF,0.027103958346592433
GBP_EUR,-0.022306300046431454
GBP_JPY,0.04253669552511722
GBP_NZD,0.021412006580532286
HKD_USD,-0.010549041148828417
JPY_USD,0.12469472471971896
MXN_USD,-0.006750683514608384
NOK_USD,-0.008839171827245938
NZD_AUD,-0.007101671145652363
NZD_CAD,0.005863528199118723
NZD_CHF,0.004823707093834203
NZD_EUR,0.005791477074145703
NZD_GBP,-0.02511998836170997
NZD_JPY,0.022088809161265953
NZD_USD,0.029789708749958215
PLN_USD,0.008698864814481977
RUB_USD,5.315925683782671e-13
SGD_USD,0.005183602425597961
TRY_USD,0.010620245415856985
USD_ARS,-4.997002861475414e-13
USD_AUD,0.10945502191097158
USD_BBD,-2.5886607207340333e-12
USD_BGN,-2.556434596176347e-13
USD_BHD,1.4005597138867046e-05
USD_BND,-1.4762802769778202e-12
USD_BOB,6.741392179887099e-14
USD_BRL,-1.1246388498827444e-12
USD_BSD,-8.881784197001252e-13
USD_BZD,-8.881784197001252e-13
USD_CAD,-0.03402701651070713
USD_CHF,-0.031284128824810783
USD_CLP,-1.1557176085875915e-12
USD_CNY,-3.642885817144887e-13
USD_COP,-0.015219726773785488
USD_CRC,-1.0871956174500004e-12
USD_CUP,-6.597896832058073e-13
USD_CZK,-5.688724310734998e-13
USD_DJF,1.6502928056363618e-13
USD_DKK,0.023455249487551334
USD_DOP,-2.8986312384679504e-13
USD_DZD,-8.134707056314703e-13
USD_EGP,-9.425032604039649e-13
USD_EUR,0.03691773811120823
USD_FJD,-4.609603589890623e-13
USD_GBP,0.11466897881740376
USD_GHS,1.2702780602118497e-14
USD_GMD,-3.947459643111668e-13
USD_GTQ,2.2357610121837718e-13
USD_HKD,-0.010549041149742859
USD_HTG,-4.735229670035807e-13
USD_HUF,-4.757857308392088e-13
USD_IDR,-8.205967234041458e-13
USD_INR,-1.4005601329796665e-05
USD_IRR,-4.14584479440651e-13
USD_ISK,-5.856121448572254e-14
USD_JMD,-2.8875466765287086e-13
USD_JOD,-6.889959629408018e-13
USD_JPY,0.004900659439978388
USD_KWD,-7.639149001708187e-13
USD_KZT,-8.250677673271599e-13
USD_LKR,-2.5311954963464126e-13
USD_LYD,-3.6187190211062725e-13
USD_MAD,-6.585493728425926e-13
USD_MDL,-5.264723892843772e-13
USD_MNT,-6.589322038635483e-13
USD_MOP,-8.660822194850578e-13
USD_MUR,-1.0520564424693966e-12
USD_MXN,-0.006750683514194501
USD_MYR,-1.0225475600073396e-12
USD_MZN,-4.3553407621021905e-13
USD_NOK,-0.008839171825302989
USD_NZD,0.045963460267132265
USD_OMR,-8.795273540414189e-13
USD_PLN,0.008698864814713592
USD_PYG,-9.804186005350374e-13
USD_QAR,-6.70958617195106e-13
USD_RON,-5.670493790545321e-13
USD_SAR,-4.1442800545933054e-13
USD_SCR,-8.648280620254384e-14
USD_SEK,-5.550074414797079e-13
USD_SGD,0.005183602426663179
USD_SVC,-4.869510467801943e-13
USD_TRY,0.010620245416549653
USD_TTD,-6.490950692083742e-13
USD_TWD,-6.046647108760839e-13
USD_TZS,-5.654246792736347e-13
USD_UGX,-1.040611786925547e-12
USD_UYU,-1.121716016598502e-12
USD_VND,-5.757526663347165e-13
USD_VUV,-7.059782213976156e-13
USD_XCD,-5.098802039019237e-13
USD_ZAR,-0.01784477540455344
ZAR_USD,-0.017844775403266337
