pair,actual_value,calculated_value,error_percent,abs_error_percent
AUDUSD,0.65515,0.6551499999999998,3.389217811570347e-14,3.389217811570347e-14
EURGBP,0.85699999,0.8572247513323361,-0.02622652683298926,0.02622652683298926
EURJPY,158.8,158.99372473119556,-0.12199290377553185,0.12199290377553185
EURUSD,1.083776,1.082171665084371,0.14803196561182094,0.14803196561182094
GBPJPY,185.28,185.4749579781505,-0.10522343380316936,0.10522343380316936
GBPUSD,1.26341,1.2624129942613211,0.07891387108529932,0.07891387108529932
NZDUSD,0.61295003,0.6129500300000006,-9.056390980396531e-14,9.056390980396531e-14
USDCAD,1.3587,1.3586999999999962,2.7782132065397305e-13,2.7782132065397305e-13
USDCHF,0.87545002,0.8754500200000006,-6.340870405286852e-14,6.340870405286852e-14
USDJPY,147.255,146.92098292815652,0.22682901894229487,0.22682901894229487
