pair,actual_value,calculated_value,error_percent,abs_error_percent
AUDUSD,0.66715002,0.6671500199999999,1.6641279942180868e-14,1.6641279942180868e-14
EURGBP,0.85600001,0.857575661484643,-0.184071432971479,0.184071432971479
EURJPY,159.66,159.72784407739238,-0.04249284566728024,0.04249284566728024
EURUSD,1.089206,1.0867429785900742,0.22612998917796215,0.22612998917796215
GBPJPY,186.50999,186.25510406961646,0.1366607388609709,0.1366607388609709
GBPUSD,1.26317,1.2672269368147582,-0.3211710866121165,0.3211710866121165
NZDUSD,0.62015003,0.6201500300000011,-1.790249086378592e-13,1.790249086378592e-13
USDCAD,1.3494,1.3493999999999966,2.4682592810697125e-13,2.4682592810697125e-13
USDCHF,0.86930001,0.8693000100000003,-3.831437979478994e-14,3.831437979478994e-14
USDJPY,146.84,146.97849190120476,-0.09431483329117335,0.09431483329117335
