pair,actual_value,calculated_value,error_percent,abs_error_percent
AUDUSD,0.66159999,0.6615999899999997,5.034264093437289e-14,5.034264093437289e-14
EURGBP,0.85780001,0.857461622438591,0.03944830467056242,0.03944830467056242
EURJPY,159.49001,159.71148245981664,-0.1388629042136396,0.1388629042136396
EURUSD,1.088815,1.0877342292225245,0.09926119473699321,0.09926119473699321
GBPJPY,185.92999,186.26079381325866,-0.17791848063814483,0.17791848063814483
GBPUSD,1.27131,1.2685515021990676,0.21698073647908783,0.21698073647908783
NZDUSD,0.61650002,0.6165000200000011,-1.800848318910284e-13,1.800848318910284e-13
USDCAD,1.3543,1.354299999999997,2.295373601824144e-13,2.295373601824144e-13
USDCHF,0.87325001,0.8732500100000012,-1.3985059411424136e-13,1.3985059411424136e-13
USDJPY,147.295,146.8295086879568,0.3160265535443731,0.3160265535443731
