currency,absolute_value,log_value
AUD,1.3544373062976984,0.30338609597730526
CAD,1.5116405691561081,0.413195530685648
CHF,2.3443627819805117,0.8520136302085544
EUR,2.2268256373401094,0.8005770903470324
GBP,2.5969974387974295,0.9543559464642719
JPY,0.013942802377408137,-4.272791862475944
NZD,1.2621079792055003,0.23278332242829797
USD,2.0472148228081126,0.7164802463648344
