currency,absolute_value
AFN,0.4895850201165793
ALL,0.27682503679513226
AMD,0.07681270340408246
ARS,7.551103282035942
AUD,19.989385674549567
AZN,28.24475938432174
BBD,11.49171672846494
BDT,0.33348182704550505
BGN,17.17113402135892
BHD,60.76634015393394
BIF,0.01983392566317913
BND,16.140962937355454
BOB,3.257623403083408
BRL,13.946768487921876
BSD,22.86851628964532
BWP,3.441669369058369
BZD,11.667610351860022
CAD,21.696613809933687
CHF,21.00937585998493
CLP,0.04390576138026952
CNY,3.3276610593498988
COP,0.012311665003293898
CRC,0.04139472508950764
CUP,22.868516289645328
CVE,0.31412797101161316
CZK,1.3694374397502076
DJF,0.13047593021992054
DKK,4.503263165382101
DOP,0.6552583464081791
DZD,0.36824122072792703
EGP,4.296574726340956
ETB,2.3721789041467005
EUR,33.95426669935358
FJD,14.655207813800194
GBP,43.02825693389508
GHS,19.808432141362207
GMD,1.0611840505635948
GNF,0.004981270946387978
GTQ,3.090340039141297
HKD,2.927170199417253
HNL,1.230217671184332
HTG,0.5871249368330038
HUF,0.14633345076258536
IDR,0.00243495517349925
ILS,6.500148788980213
INR,0.5360745295272363
IQD,0.01960438601769868
IRR,0.0024573571023063343
ISK,0.27825657102446505
JMD,0.3181042744421417
JOD,32.33524923602226
JPY,0.20778259064574275
KES,0.3460103378868005
KHR,0.005628480504466078
KMF,0.06913094613347963
KRW,0.022626413117855147
KWD,85.01307486905729
KYD,27.88815561522274
KZT,0.19034097373711426
LAK,0.002694185664998295
LBP,0.015416284199352755
LKR,0.21223681011271808
LSL,2.9051559751572857
LYD,18.783175597244863
MAD,2.9586405529077955
MDL,2.36245002992207
MGA,0.014098961954158776
MKD,0.5643063859258615
MMK,3.6131764345644775
MNT,0.019808156162534046
MOP,2.840738899610637
MUR,0.8278195941953138
MVR,1.8092180608896817
MWK,0.16042452676005356
MXN,2.245225281108217
MYR,6.830663247866403
MZN,0.9576430607054274
NAD,2.9252978944222074
NGN,0.19388313937808851
NIO,1.1926836665117542
NOK,4.214642800205034
NPR,0.3321498371771329
NZD,16.254725139213164
OMR,59.41417586293966
PEN,7.777099710593753
PGK,9.046448154454447
PHP,0.5190901541549979
PKR,0.29913036350092204
PLN,10.073188108584205
PYG,0.005818955059774991
QAR,6.281524004187625
RON,9.462312268141952
RSD,0.4706618154615452
RUB,0.9473394897847242
RWF,0.0426834564010236
SAR,6.097264907685299
SCR,2.8451213378841946
SDG,11.116871464510936
SDR,36.436381988202065
SEK,3.5863181459783453
SGD,16.123097837638706
SOS,0.016620768920146866
SVC,2.6129474736797835
SYP,0.4484022801891304
SZL,2.903938576462911
THB,0.6664685204598318
TJS,6.724684544101995
TND,19.767063955091704
TRY,19.250964816131418
TTD,3.6502021212522715
TWD,0.7291912736799557
TZS,0.019663384599867183
UAH,4.924117761485233
UGX,0.014160072005972534
USD,22.868516289645513
UYU,1.2005220835639898
UZS,0.0321030217706939
VND,0.001377621463231652
VUV,0.2311118371869179
XAF,0.05546975730551107
XCD,8.678753810112172
XOF,0.051668585117396575
XPF,0.28756748012732686
YER,0.11514861600281648
ZAR,2.9048948088809445
