currency,absolute_value
AFN,0.27660499126747157
ARS,13.141364963956807
AUD,7.293356842442691
BBD,6.602380444826592
BGN,6.3176117157306075
BHD,34.8508838873283
BND,7.568396938482161
BOB,2.052927669563262
BRL,6.7309103920106885
BSD,13.138737085204866
BZD,6.669409687921259
CAD,8.721541480193002
CHF,8.03413356242295
CLP,0.022941744116968064
CNY,1.5874558496490054
COP,0.005865101824143849
CRC,0.04123638530288408
CUP,13.13873708520483
CZK,0.34937044006067747
DJF,0.07488593379997066
DKK,1.6568484540574264
DOP,0.8150581318365365
DZD,0.18047715776380463
EGP,3.4621178090131735
EUR,12.368919497896588
FJD,6.016180724943901
GBP,19.336656154664308
GHS,19.072052948069924
GMD,0.853164745792525
GTQ,1.6887836870443267
HKD,1.6845277033671568
HTG,0.5972153220547631
HUF,0.04667733628830289
IDR,0.0013910785691058573
INR,0.2824917425295409
IRR,0.007518590606698137
ISK,0.15463705155305027
JMD,0.2910019287974496
JOD,18.479235627043415
JPY,0.11165145721953688
KWD,42.951084196450175
KYD,16.022689875407448
KZT,0.09059323709438125
LKR,0.15463705155305008
LYD,24.471479930405213
MAD,1.241248272118819
MDL,1.0098952409842323
MKD,0.20514852830825162
MNT,0.01196606291913019
MOP,1.6339680493974538
MUR,0.473809487385679
MXN,1.3202605636556008
MYR,3.4575623908433974
MZN,0.7621077195594494
NOK,1.5067276533633027
NZD,5.836063864707199
OMR,34.12659071810601
PLN,3.209209422656196
PYG,0.0036937692114717207
QAR,3.6088491458249576
RON,5.008094943855491
RUB,0.4637974453852077
SAR,3.5028516855565957
SCR,2.06746452953657
SEK,1.3890196728200588
SGD,7.57886761970855
SVC,1.5007124026504646
SYP,0.2502616587658075
TRY,19.59936109400192
TTD,2.1055668405777053
TWD,0.4027816396445399
TZS,0.016382465193522346
UGX,0.007179637751478103
USD,13.138737085204925
UYU,1.04420719930101
VND,0.0009029439272355812
VUV,0.09252631750144258
XCD,4.920875312810873
ZAR,1.6868148093350304
