currency,absolute_value
AFN,0.5263374504463048
ALL,0.2607486688672854
AMD,0.06678937187265481
ARS,6.748647711062706
AUD,17.768867374053546
AZN,30.662764061352966
BBD,12.447880703054983
BDT,0.36805726417572293
BGN,17.11519414692021
BHD,66.05132391161573
BIF,0.020835016310494343
BND,16.566250602948045
BOB,3.5363297451861198
BRL,11.270150025400655
BSD,24.895761406110022
BWP,3.3197889649709973
BZD,12.701919084750108
CAD,20.214251002999564
CHF,21.976734122861412
CLP,0.042657150912756805
CNY,3.6449809888852673
COP,0.010309060563461286
CRC,0.04473631878905722
CUP,24.895761406110577
CVE,0.30389591814299205
CZK,1.266529649315859
DJF,0.14145318980744545
DKK,4.486266846501196
DOP,0.6949270455299427
DZD,0.3480221067464951
EGP,4.443141712405023
ETB,2.256890708558646
EUR,33.481893052108184
FJD,14.196681942692088
GBP,36.85139138197286
GHS,17.59711615288364
GMD,0.9376934616237405
GNF,0.005137595945691039
GTQ,3.07754019483407
HKD,3.2119131725594006
HNL,1.3446992225402599
HTG,0.6263084630468029
HUF,0.11250529322216224
IDR,0.002177550419668482
ILS,5.979768342719934
INR,0.49911721096322725
IQD,0.021750621912565733
IRR,0.0025262199951848
ISK,0.20897978180231921
JMD,0.2829063796148898
JOD,34.99678213786081
JPY,0.24763760448781041
KES,0.32702932476138974
KHR,0.00619420822945379
KMF,0.06806770035846972
KRW,0.018693317608814545
KWD,85.49368321144729
KYD,30.73630703198366
KZT,0.16487259209344593
LAK,0.0029690830537996873
LBP,0.016608246435030234
LKR,0.2145631441926521
LSL,2.7297983997927893
LYD,19.29903984969786
MAD,3.0002845821917
MDL,2.2632510369191268
MGA,0.012803826964633691
MKD,0.5423913160372624
MMK,3.948198649789128
MNT,0.01854432879412309
MOP,3.113760588101938
MUR,0.746499592387117
MVR,1.9727227738597686
MWK,0.1805872726397091
MXN,1.8368893771604342
MYR,6.953754719493781
MZN,0.8853400215544188
NAD,2.75517501174305
NGN,0.16872762728641452
NIO,1.2748098555359226
NOK,3.8102808387819556
NPR,0.3137462054960345
NZD,14.550540514806805
OMR,64.64752209720858
PEN,7.985896455032097
PGK,8.751937497753715
PHP,0.5225810655181844
PKR,0.309648773707839
PLN,7.5014624449716925
PYG,0.004915231367596571
QAR,6.83761642573752
RON,8.055055943996638
RSD,0.3545495657254592
RUB,0.7466611165341877
RWF,0.044648863980064686
SAR,6.63777441653754
SCR,1.5886111902006423
SDG,10.99199143719822
SDR,37.42101250623774
SEK,3.1317392799686
SGD,16.51820782984458
SOS,0.018162809013096044
SVC,2.8458803619239057
SYP,0.5406245808194313
SZL,2.7303971711022395
THB,0.702266244667768
TJS,6.611540638294696
TND,18.129741775495447
TRY,15.759410421221625
TTD,4.015445388082273
TWD,0.7468541586148515
TZS,0.018648510416562077
UAH,3.103427992092202
UGX,0.011574040635104761
USD,24.895761406110122
UYU,1.0377382632111267
VND,0.001400290309134952
VUV,0.21992722090203423
XAF,0.052009195968501426
XCD,9.448106795487774
XOF,0.05201136799839192
XPF,0.28615817708172936
YER,0.1246346002809025
ZAR,2.754327559041992
