date,absolute_value
2025-12-04,5.111754144230243
2025-12-05,5.114382315660768
2025-12-06,5.112816194797449
2025-12-07,5.112816194797449
2025-12-08,5.133434802904548
2025-12-09,5.143141752549056
2025-12-10,5.1380625173444825
2025-12-11,5.1373874747880315
2025-12-12,5.1500132564406895
2025-12-13,5.148887682042547
2025-12-14,5.148887682042547
2025-12-15,5.146978694192878
2025-12-16,5.143963083407454
2025-12-17,5.154452886547613
2025-12-18,5.160280952963601
2025-12-19,5.153792183611148
2025-12-20,5.152631545509009
2025-12-21,5.152631545509009
2025-12-22,5.146837104614987
2025-12-23,5.1459184414691705
2025-12-24,5.1456642160628885
2025-12-25,5.148677930243817
2025-12-26,5.1485658472215485
2025-12-27,5.148704604178826
2025-12-28,5.148704604178826
2025-12-29,5.150853020169739
2025-12-30,5.153053411822399
2025-12-31,5.1480360400893135
2026-01-01,5.154336173275355
2026-01-02,5.15564755560704
2026-01-03,5.152563068780224
2026-01-04,5.15258094210722
2026-01-05,5.148195317517723
2026-01-06,5.149821545544534
2026-01-07,5.1570087865244085
2026-01-08,5.001062245529312
2026-01-09,5.104871680090437
2026-01-10,5.111108634080273
2026-01-11,5.112053750679869
2026-01-12,5.10983078451211
2026-01-13,5.1091285527615335
2026-01-14,5.108172969464825
2026-01-15,5.106289580714544
2026-01-16,5.112258239908603
2026-01-17,5.119254746980665
2026-01-18,5.126960056032127
2026-01-19,5.1037647622538245
2026-01-20,5.096927789267162
2026-01-21,5.105262465455057
2026-01-22,5.098172439430091
2026-01-23,5.0924844681587675
2026-01-24,5.0943557776600095
2026-01-25,5.0860863445795905
2026-01-26,5.100874477213015
2026-01-27,5.1165776660484275
2026-01-28,5.114002754345827
2026-01-29,5.049377692987155
2026-01-30,5.140658933469056
2026-01-31,5.132736723477499
2026-02-01,5.136276383175023
2026-02-02,5.148815089144688
2026-02-03,5.137628080376326
2026-02-04,5.138279564089032
2026-02-05,5.157351128943207
2026-02-06,5.136070989728973
2026-02-07,5.1359391182778955
2026-02-08,5.136564959161665
2026-02-09,5.118900279916651
