date,absolute_value
2013-07-17,4.624829148733131
2013-07-18,4.642154407986269
2013-07-19,4.632476550403794
2013-07-20,4.632924777154218
2013-07-21,4.63292429835644
2013-07-22,4.698091805640236
2013-07-23,4.6930039532381285
2013-07-24,4.695398407723784
2013-07-25,4.692432228677165
2013-07-26,4.693113255076693
2013-07-27,4.692962096724372
2013-07-28,4.692962096724372
2013-07-29,4.69519982508309
2013-07-30,4.707257082309757
2013-07-31,4.708051402983535
2013-08-01,4.7149722853723155
2013-08-02,4.71268192765249
2013-08-03,4.712635253198729
2013-08-04,4.712649396632495
2013-08-05,4.715460327795091
2013-08-06,4.718000017170792
2013-08-07,4.7168688887225105
2013-08-08,4.714876464900015
2013-08-09,4.707212116489714
2013-08-10,4.707050528280925
2013-08-11,4.706974294418053
2013-08-12,4.714018531271156
2013-08-13,4.723204564016961
2013-08-14,4.731714499083922
2013-08-15,4.730436495111736
2013-08-16,4.738140654921004
2013-08-17,4.738018024503441
2013-08-18,4.738018024503441
2013-08-19,4.741360539048532
2013-08-20,4.737645693274737
2013-08-21,4.729765703984142
2013-08-22,4.748075882926392
2013-08-23,4.747569252621
2013-08-24,4.748697787872398
2013-08-25,4.748684810627062
2013-08-26,4.752634458873965
2013-08-27,4.755539511708165
2013-08-28,4.761031536882259
2013-08-29,4.771064140536121
2013-08-30,4.77301403717608
2013-08-31,4.773364360974887
2013-09-01,4.773338911551259
2013-09-02,4.7745058674697765
2013-09-03,4.779574656127225
2013-09-04,4.7772769831224995
2013-09-05,4.781255163241133
2013-09-06,4.7748151452905
2013-09-07,4.7748151452905
2013-09-08,4.7748151452905
2013-09-09,4.768960820423989
2013-09-10,4.757101121873072
2013-09-11,4.75379024417308
2013-09-12,4.751977343759754
2013-09-13,4.753500926835073
2013-09-14,4.753336372765921
2013-09-15,4.753335382619636
2013-09-16,4.741821266675981
2013-09-17,4.7427308986405015
2013-09-18,4.722013176822465
2013-09-19,4.7137746478739775
2013-09-20,4.720950215259514
2013-09-21,4.720950215259514
2013-09-22,4.720949723539785
2013-09-23,4.725544479899559
2013-09-24,4.726935377106042
2013-09-25,4.727167814325905
2013-09-26,4.7362992260359675
2013-09-27,4.7421941846253
2013-09-28,4.742029959448122
2013-09-29,4.742213352805168
2013-09-30,4.733960447589748
2013-10-01,4.736500088242841
2013-10-02,4.732288501401485
2013-10-03,4.732126348753856
2013-10-04,4.734869122846502
2013-10-05,4.734645528227781
2013-10-06,4.734645528227781
2013-10-07,4.734595292944979
2013-10-08,4.735434278431766
2013-10-09,4.730998394882486
