date,absolute_value
2016-06-04,9.835258878792771
2016-06-05,9.835240539621147
2016-06-06,9.791361169438105
2016-06-07,9.776954945476271
2016-06-08,9.760760838812963
2016-06-09,9.772162093691726
2016-06-10,9.714878416563758
2016-06-11,9.714957193410575
2016-06-12,9.714928942825033
2016-06-13,9.71766075731535
2016-06-14,9.749442193785857
2016-06-15,9.739856710180359
2016-06-16,9.748827906460123
2016-06-17,9.75449584132959
2016-06-18,9.75445143534564
2016-06-19,9.753905727354397
2016-06-20,9.702612214824939
2016-06-21,9.739750246946773
2016-06-22,9.757504417998716
2016-06-23,9.728755703600575
2016-06-24,9.788707131918079
2016-06-25,9.788842514826056
2016-06-26,9.788383800392735
2016-06-27,9.84695527411509
2016-06-28,9.830073443324233
2016-06-29,9.806550343929324
2016-06-30,9.797542511106435
2016-07-01,9.799217495519615
2016-07-02,9.799462328020418
2016-07-03,9.79932714562783
2016-07-04,9.781409412340535
2016-07-05,9.810033940479343
2016-07-06,9.826157326103042
2016-07-07,9.832042328172912
2016-07-08,9.830479399880808
2016-07-09,9.830421601420909
2016-07-10,9.830483664367598
2016-07-11,9.823989255198923
2016-07-12,9.821311331766834
2016-07-13,9.810878529422768
2016-07-14,9.79589577136986
2016-07-15,9.8144232629705
2016-07-16,9.814224465182356
2016-07-17,9.814931474660842
2016-07-18,9.812529672939428
2016-07-19,9.819105189509338
2016-07-20,9.833008497122186
2016-07-21,9.830393877932655
2016-07-22,9.840789903826487
2016-07-23,9.840938428544867
2016-07-24,9.841238735940248
2016-07-25,9.854900755818
2016-07-26,9.859276902495822
2016-07-27,9.850923343088628
2016-07-28,9.845477062731202
2016-07-29,9.81045557084352
2016-07-30,9.80979379922141
2016-07-31,9.80936238400843
2016-08-01,9.811698648953392
2016-08-02,9.808475534721694
2016-08-03,9.813525905519658
2016-08-04,9.816188392547016
2016-08-05,9.4160806875558
2016-08-06,9.416655808620904
2016-08-07,9.41705214562296
2016-08-08,9.424239471881041
2016-08-09,9.400436292664688
2016-08-10,9.401011986113147
2016-08-11,9.40378984840295
2016-08-12,9.411825867135684
2016-08-13,9.415465295676176
2016-08-14,9.415375094401387
2016-08-15,9.400278644317027
2016-08-16,9.306437718326922
2016-08-17,9.399680316803506
2016-08-18,9.384208903356411
2016-08-19,9.389995346367108
2016-08-20,9.390067143903003
2016-08-21,9.390050307669668
2016-08-22,9.40425815069696
2016-08-23,9.42622370787897
2016-08-24,9.422520238912488
2016-08-25,9.424262141228711
2016-08-26,9.446002976408188
2016-08-27,9.446073579058595
2016-08-28,9.446693562634769
2016-08-29,9.453650794040735
2016-08-30,9.45961208732529
2016-08-31,9.456988694123808
2016-09-01,9.449646055661267
2016-09-02,9.456380313293474
2016-09-03,9.45647888825753
2016-09-04,9.456475096388791
2016-09-05,9.457064507262059
2016-09-06,9.431170037788501
2016-09-07,9.422909183282536
2016-09-08,9.431157740937998
2016-09-09,9.451976948862729
2016-09-10,9.452129289177712
2016-09-11,9.452130236469136
2016-09-12,9.450079918694508
2016-09-13,9.464921993939363
2016-09-14,9.466564781965856
2016-09-15,9.461385358786275
2016-09-16,9.47869788687708
2016-09-17,9.47877060306848
2016-09-18,9.478763953341195
2016-09-19,9.476923317051867
2016-09-20,9.466451420770754
2016-09-21,9.45247868849937
2016-09-22,9.440169061925504
2016-09-23,9.439788746539493
2016-09-24,9.439487538227338
2016-09-25,9.439491322678917
2016-09-26,9.442118140057342
2016-09-27,9.504599129862207
2016-09-28,9.507060930487587
2016-09-29,9.514351332879269
2016-09-30,9.510965822121602
2016-10-01,9.51102048675496
