date,absolute_value
2025-12-04,1.9844056157831045
2025-12-05,1.976051569515429
2025-12-06,1.9768160491583497
2025-12-07,1.9768160491583497
2025-12-08,1.9840555178248718
2025-12-09,1.983502801301618
2025-12-10,1.9773202889719246
2025-12-11,1.9958375616037907
2025-12-12,1.9961078391986475
2025-12-13,1.9938656797598042
2025-12-14,1.9938656797598042
2025-12-15,1.9968075453047933
2025-12-16,1.9963187655086425
2025-12-17,1.9971546772505682
2025-12-18,1.9964474519393927
2025-12-19,1.9927080152293217
2025-12-20,1.9919081360182878
2025-12-21,1.9919081360182878
2025-12-22,1.9961289266547524
2025-12-23,1.9893751088926381
2025-12-24,1.9871100605126335
2025-12-25,1.9981123576024442
2025-12-26,1.9979002813142699
2025-12-27,1.995697090989547
2025-12-28,1.995697090989547
2025-12-29,1.9942998908715384
2025-12-30,1.9886241407751708
2025-12-31,1.9929555559197594
2026-01-01,1.9927710338212694
2026-01-02,1.9871072253550357
2026-01-03,1.989216235209145
2026-01-04,1.9892231354472822
2026-01-05,1.9867556028729971
2026-01-06,1.984258455661467
2026-01-07,1.9855902265541403
2026-01-08,1.92003317232519
2026-01-09,1.9571003217986738
2026-01-10,1.9652008072706457
2026-01-11,1.95511991093956
2026-01-12,1.965040729107464
2026-01-13,1.963668020164525
2026-01-14,1.962726813922911
2026-01-15,1.9557868098625588
2026-01-16,1.9556993129101155
2026-01-17,1.9610140014720967
2026-01-18,1.949621773632054
2026-01-19,1.9596047702772244
2026-01-20,1.964458510926612
2026-01-21,1.969086695848334
2026-01-22,1.9646248108330924
2026-01-23,1.970755589029717
2026-01-24,1.96580781823591
2026-01-25,1.9550042703562196
2026-01-26,1.9788621532517894
2026-01-27,1.9883541146893617
2026-01-28,1.9877389492877497
2026-01-29,1.9885677952120449
2026-01-30,1.9856133685608077
2026-01-31,1.9825822685314802
2026-02-01,1.9715621815315763
2026-02-02,1.9680421213759836
2026-02-03,1.974671053801343
2026-02-04,1.9752547780561462
2026-02-05,1.9743308753431048
2026-02-06,1.9743557018935367
2026-02-07,1.9757498008619896
2026-02-08,1.971035291103699
2026-02-09,1.977638832344589
