,2023-12-01,2023-12-04,2023-12-05,2023-12-06,2023-12-07
EUR,1.0885722684134091,1.0868039887637528,1.0819815011762965,1.0785301627811639,1.0777310360134529
JPY,0.006814098118189963,0.006801659187366819,0.006802203864324994,0.006792052516646077,0.006964449240157822
USD,1.0,1.0,1.0,1.0,1.0
