Currency,Earliest_Date,Latest_Date,Total_Days,Approx_Years
AUD,1999-01-04,2025-12-24,6910,27.0
BRL,2008-01-02,2025-12-24,4606,18.0
CAD,1999-01-04,2025-12-24,6910,27.0
CHF,1999-01-04,2025-12-24,6910,27.0
CNY,2005-04-01,2025-12-24,5311,20.7
CZK,1999-01-04,2025-12-24,6910,27.0
DKK,1999-01-04,2025-12-24,6910,27.0
GBP,1999-01-04,2025-12-24,6910,27.0
HKD,1999-01-04,2025-12-24,6910,27.0
HUF,1999-01-04,2025-12-24,6910,27.0
IDR,2005-04-01,2025-12-24,5311,20.7
ILS,2011-01-03,2025-12-24,3836,15.0
INR,2009-01-02,2025-12-24,4350,17.0
ISK,1999-01-04,2025-12-24,4569,27.0
JPY,1999-01-04,2025-12-24,6910,27.0
KRW,1999-01-04,2025-12-24,6910,27.0
MXN,2008-01-02,2025-12-24,4606,18.0
MYR,2005-04-01,2025-12-24,5311,20.7
NOK,1999-01-04,2025-12-24,6910,27.0
NZD,1999-01-04,2025-12-24,6910,27.0
PHP,2005-04-01,2025-12-24,5311,20.7
PLN,1999-01-04,2025-12-24,6910,27.0
RON,2005-07-01,2025-12-24,5246,20.5
SEK,1999-01-04,2025-12-24,6910,27.0
SGD,1999-01-04,2025-12-24,6910,27.0
THB,2005-04-01,2025-12-24,5311,20.7
TRY,2005-01-03,2025-12-24,5373,21.0
USD,1999-01-04,2025-12-24,6910,27.0
ZAR,1999-01-04,2025-12-24,6910,27.0
